CustomerID,Lookalikes
C0071,"[('C0033', 0.9943134121424847), ('C0062', 0.9924992561568804), ('C0060', 0.9900151028664129)]"
C0072,"[('C0038', 0.987249040803027), ('C0010', 0.9787833084151503), ('C0111', 0.9769177804205528)]"
C0073,"[('C0063', 0.9999482718765162), ('C0095', 0.9913301537652028), ('C0159', 0.9881935277438515)]"
C0074,"[('C0115', 0.9996115381288891), ('C0050', 0.9975122901044063), ('C0044', 0.9937722152224533)]"
C0075,"[('C0004', 0.9993516715777612), ('C0108', 0.9944664131725794), ('C0165', 0.9892338095713201)]"
C0076,"[('C0019', 0.9652782720505947), ('C0047', 0.9363619711939528), ('C0088', 0.9200260673443706)]"
C0077,"[('C0029', 0.9964359968415828), ('C0002', 0.996101293276985), ('C0025', 0.995085563503808)]"
C0078,"[('C0133', 0.9951274439592181), ('C0125', 0.9920213754950171), ('C0042', 0.9911934659061936)]"
C0079,"[('C0168', 0.9997343312128377), ('C0026', 0.9982243153419211), ('C0196', 0.9981880228622236)]"
C0080,"[('C0120', 0.9989690032424807), ('C0135', 0.9830300603506368), ('C0020', 0.9795081853872943)]"
C0081,"[('C0160', 0.9998972422780911), ('C0049', 0.9933413061346466), ('C0111', 0.9841960286441114)]"
C0082,"[('C0013', 0.9914372475307774), ('C0054', 0.9851932576299187), ('C0141', 0.9851680536088634)]"
C0083,"[('C0119', 0.9959774900479894), ('C0032', 0.9953612790528031), ('C0199', 0.9910999181706006)]"
C0084,"[('C0090', 0.9973093341764421), ('C0008', 0.9854316551437631), ('C0017', 0.9584580577095352)]"
C0085,"[('C0007', 0.9967606908309854), ('C0092', 0.9917670156558381), ('C0135', 0.9866662658764688)]"
C0086,"[('C0147', 0.9938113594175959), ('C0161', 0.9914034253843488), ('C0047', 0.96860531568431)]"
C0087,"[('C0054', 0.9864051142208969), ('C0022', 0.9857984435886455), ('C0046', 0.9855771068983772)]"
C0088,"[('C0172', 0.9909612236932765), ('C0119', 0.9904027669947525), ('C0031', 0.9902738623732427)]"
C0089,"[('C0070', 0.9896432204864638), ('C0040', 0.9733987751554728), ('C0185', 0.9722649607613528)]"
C0090,"[('C0084', 0.9973093341764421), ('C0008', 0.9821685757044459), ('C0179', 0.9451383400430086)]"
C0091,"[('C0034', 0.9787262633096393), ('C0134', 0.9732422762523981), ('C0190', 0.9494748034625174)]"
C0092,"[('C0085', 0.9917670156558381), ('C0135', 0.9876531042768376), ('C0007', 0.9783017226404402)]"
C0093,"[('C0124', 0.9891291807306682), ('C0162', 0.9770269588890615), ('C0175', 0.9626688015345216)]"
C0094,"[('C0029', 0.9972452120108369), ('C0002', 0.9969858783006272), ('C0189', 0.9968555892021431)]"
C0095,"[('C0073', 0.9913301537652028), ('C0063', 0.9899491334398469), ('C0159', 0.9845024128860776)]"
C0096,"[('C0170', 0.9983465016750365), ('C0037', 0.9965162741683923), ('C0171', 0.9928428905537746)]"
C0097,"[('C0043', 0.9991736145270891), ('C0166', 0.9970327257258159), ('C0032', 0.9931472075784491)]"
C0098,"[('C0047', 0.9805463578165002), ('C0161', 0.9555756212731783), ('C0147', 0.9535778529524487)]"
C0099,"[('C0188', 0.9932558989434759), ('C0104', 0.989714890659022), ('C0054', 0.9843724518054507)]"
C0100,"[('C0023', 0.9946919292843925), ('C0011', 0.9785331397792597), ('C0126', 0.9724925385555333)]"
C0101,"[('C0156', 0.9935332111756543), ('C0065', 0.9921384318782985), ('C0175', 0.9868825067206611)]"
C0102,"[('C0173', 0.9931688045420322), ('C0145', 0.9921658922912189), ('C0122', 0.9867380976660552)]"
C0103,"[('C0001', 0.9815391947418931), ('C0058', 0.9781500489662168), ('C0191', 0.9712895426989611)]"
C0104,"[('C0099', 0.989714890659022), ('C0188', 0.9849756662741254), ('C0059', 0.9848624288628601)]"
C0105,"[('C0053', 0.998123019151939), ('C0018', 0.9792731261960046), ('C0057', 0.97212658255948)]"
C0106,"[('C0030', 0.9957760563165163), ('C0038', 0.9836130318067332), ('C0010', 0.9795735914224671)]"
C0107,"[('C0016', 0.9945573191642162), ('C0048', 0.9892943186462657), ('C0187', 0.9757786996943649)]"
C0108,"[('C0165', 0.9990471762072309), ('C0075', 0.9944664131725794), ('C0004', 0.9943536917638258)]"
C0109,"[('C0113', 0.9918494594036588), ('C0017', 0.9914464985330464), ('C0162', 0.9898490219782854)]"
C0110,"[('C0193', 0.9935536516587558), ('C0129', 0.9921368539768425), ('C0140', 0.9112240118524361)]"
C0111,"[('C0190', 0.9986348807678017), ('C0134', 0.987786384297228), ('C0081', 0.9841960286441114)]"
C0112,"[('C0035', 0.9917344031259144), ('C0197', 0.9916754135141682), ('C0178', 0.9885720467055197)]"
C0113,"[('C0017', 0.9990376712380035), ('C0109', 0.9918494594036588), ('C0075', 0.9761737530987796)]"
C0114,"[('C0200', 0.995187303253489), ('C0138', 0.9930839104058069), ('C0148', 0.9916384272791721)]"
C0115,"[('C0074', 0.9996115381288891), ('C0050', 0.998275284325937), ('C0183', 0.9951734180121087)]"
C0116,"[('C0139', 0.9515247791039516), ('C0191', 0.9410078560694267), ('C0076', 0.9086394380746895)]"
C0117,"[('C0070', 0.979790483884335), ('C0006', 0.9738417256190626), ('C0089', 0.9569178588838283)]"
C0118,"[('C0154', 0.9948708872509294), ('C0058', 0.9787327121137852), ('C0127', 0.9720225892809453)]"
C0119,"[('C0083', 0.9959774900479894), ('C0032', 0.9929380747303296), ('C0031', 0.9908001555593131)]"
C0120,"[('C0080', 0.9989690032424807), ('C0135', 0.9848177267632567), ('C0020', 0.9709505672284944)]"
C0121,"[('C0189', 0.9995918153123169), ('C0174', 0.9954247401127275), ('C0094', 0.9947602248598243)]"
C0122,"[('C0102', 0.9867380976660552), ('C0104', 0.9801567053858053), ('C0099', 0.978995763385286)]"
C0123,"[('C0061', 0.9871943734405594), ('C0005', 0.9797378258663938), ('C0130', 0.9648901429655788)]"
C0124,"[('C0162', 0.9975101693854244), ('C0093', 0.9891291807306682), ('C0175', 0.9823730086617924)]"
C0125,"[('C0133', 0.9947255410537371), ('C0078', 0.9920213754950171), ('C0042', 0.9891274182369787)]"
C0126,"[('C0011', 0.9995495923926527), ('C0196', 0.9832362386817295), ('C0100', 0.9724925385555333)]"
C0127,"[('C0184', 0.9972863527661575), ('C0154', 0.9727176584402439), ('C0118', 0.9720225892809453)]"
C0128,"[('C0192', 0.9963019744015692), ('C0164', 0.9911455329967486), ('C0069', 0.9909268289463641)]"
C0129,"[('C0110', 0.9921368539768425), ('C0193', 0.9761301941057746), ('C0140', 0.9394483344963043)]"
C0130,"[('C0150', 0.995439094037153), ('C0005', 0.9855870163111171), ('C0123', 0.9648901429655788)]"
C0131,"[('C0137', 0.987112054149344), ('C0015', 0.9867807353849467), ('C0186', 0.9781485172600569)]"
C0132,"[('C0177', 0.9992274619151122), ('C0198', 0.9866455654440244), ('C0152', 0.9632630104970104)]"
C0133,"[('C0042', 0.9988598989435248), ('C0078', 0.9951274439592181), ('C0125', 0.9947255410537371)]"
C0134,"[('C0190', 0.9945237485693477), ('C0111', 0.987786384297228), ('C0091', 0.9732422762523981)]"
C0135,"[('C0092', 0.9876531042768376), ('C0085', 0.9866662658764688), ('C0120', 0.9848177267632567)]"
C0136,"[('C0039', 0.9958895156867127), ('C0195', 0.9897317812379114), ('C0169', 0.9895748966515027)]"
C0137,"[('C0015', 0.9999668771035852), ('C0186', 0.9899022931481709), ('C0131', 0.987112054149344)]"
C0138,"[('C0037', 0.9977419329749726), ('C0170', 0.9964656051075715), ('C0171', 0.9945261075922801)]"
C0139,"[('C0024', 0.9772144620879198), ('C0116', 0.9515247791039516), ('C0184', 0.8889381374820104)]"
C0140,"[('C0020', 0.9804962134520664), ('C0080', 0.9609551754081485), ('C0120', 0.9576996366492028)]"
C0141,"[('C0013', 0.996168461713589), ('C0188', 0.9951742767627189), ('C0059', 0.9912995354868418)]"
C0142,"[('C0027', 0.9952023168529242), ('C0151', 0.982783855883792), ('C0010', 0.9791978721024244)]"
C0143,"[('C0153', 0.9983904902513793), ('C0045', 0.9952129398003093), ('C0041', 0.9896291529186048)]"
C0144,"[('C0112', 0.9778155592780587), ('C0035', 0.9603600608977015), ('C0197', 0.9487112828698627)]"
C0145,"[('C0173', 0.9997513741331088), ('C0102', 0.9921658922912189), ('C0156', 0.9881520864484458)]"
C0146,"[('C0137', 0.9826595726053687), ('C0015', 0.9816387270546947), ('C0058', 0.9531586784603391)]"
C0147,"[('C0161', 0.9996155820159787), ('C0086', 0.9938113594175959), ('C0047', 0.9837682721501939)]"
C0148,"[('C0200', 0.9994640272880011), ('C0114', 0.9916384272791721), ('C0149', 0.9895783993637483)]"
C0149,"[('C0182', 0.9900782830479847), ('C0148', 0.9895783993637483), ('C0200', 0.9864352961533073)]"
C0150,"[('C0130', 0.995439094037153), ('C0005', 0.9680036830012064), ('C0123', 0.9585151235775796)]"
C0151,"[('C0060', 0.9958979874735935), ('C0033', 0.9930404591157331), ('C0121', 0.9865603051658044)]"
C0152,"[('C0132', 0.9632630104970104), ('C0123', 0.957564239951659), ('C0177', 0.9540681041778718)]"
C0153,"[('C0143', 0.9983904902513793), ('C0045', 0.9883826324813991), ('C0041', 0.985120061736015)]"
C0154,"[('C0118', 0.9948708872509294), ('C0127', 0.9727176584402439), ('C0058', 0.9711240565520644)]"
C0155,"[('C0059', 0.953754028212624), ('C0051', 0.9401085451406654), ('C0067', 0.921548401580134)]"
C0156,"[('C0101', 0.9935332111756543), ('C0065', 0.9886632556500424), ('C0145', 0.9881520864484458)]"
C0157,"[('C0029', 0.9972864028840459), ('C0094', 0.9962394832035489), ('C0172', 0.996235189578595)]"
C0158,"[('C0044', 0.998951360939405), ('C0050', 0.9960957608667561), ('C0115', 0.9892047892143855)]"
C0159,"[('C0073', 0.9881935277438515), ('C0063', 0.9879180424624854), ('C0095', 0.9845024128860776)]"
C0160,"[('C0081', 0.9998972422780911), ('C0049', 0.994469892833112), ('C0111', 0.9835957791927771)]"
C0161,"[('C0147', 0.9996155820159787), ('C0086', 0.9914034253843488), ('C0047', 0.9815437467948616)]"
C0162,"[('C0124', 0.9975101693854244), ('C0109', 0.9898490219782854), ('C0175', 0.9793584330104594)]"
C0163,"[('C0022', 0.9984195721832748), ('C0087', 0.9748863823493685), ('C0148', 0.9679163566783512)]"
C0164,"[('C0128', 0.9911455329967486), ('C0192', 0.9860535726918399), ('C0009', 0.9766082484146525)]"
C0165,"[('C0108', 0.9990471762072309), ('C0004', 0.9898827859755549), ('C0075', 0.9892338095713201)]"
C0166,"[('C0043', 0.9990380302906093), ('C0097', 0.9970327257258159), ('C0025', 0.9939014993655785)]"
C0167,"[('C0020', 0.9895912192406835), ('C0061', 0.9552193846793109), ('C0080', 0.9505364430429489)]"
C0168,"[('C0079', 0.9997343312128377), ('C0196', 0.9977977839199412), ('C0026', 0.9970613358178081)]"
C0169,"[('C0039', 0.9943565330545492), ('C0136', 0.9895748966515027), ('C0195', 0.9665251788597848)]"
C0170,"[('C0037', 0.9995429322943181), ('C0096', 0.9983465016750365), ('C0138', 0.9964656051075715)]"
C0171,"[('C0037', 0.9981617229254579), ('C0170', 0.9963802116742587), ('C0138', 0.9945261075922801)]"
C0172,"[('C0157', 0.996235189578595), ('C0088', 0.9909612236932765), ('C0029', 0.9904682702291735)]"
C0173,"[('C0145', 0.9997513741331088), ('C0102', 0.9931688045420322), ('C0156', 0.9879026596835332)]"
C0174,"[('C0055', 0.9999538463840927), ('C0121', 0.9954247401127275), ('C0189', 0.9931615021693714)]"
C0175,"[('C0101', 0.9868825067206611), ('C0124', 0.9823730086617924), ('C0162', 0.9793584330104594)]"
C0176,"[('C0003', 0.8995525140495282), ('C0144', 0.8598992813303254), ('C0027', 0.7836838596986457)]"
C0177,"[('C0132', 0.9992274619151122), ('C0198', 0.9910043300744571), ('C0152', 0.9540681041778718)]"
C0178,"[('C0112', 0.9885720467055197), ('C0073', 0.9871159407730942), ('C0063', 0.9870526179608838)]"
C0179,"[('C0194', 0.9779516363116881), ('C0008', 0.9644769565407785), ('C0181', 0.9546128940174707)]"
C0181,"[('C0179', 0.9546128940174707), ('C0008', 0.9540320205005661), ('C0098', 0.9072620082201593)]"
C0182,"[('C0149', 0.9900782830479847), ('C0018', 0.97373142065253), ('C0148', 0.9654335407908357)]"
C0183,"[('C0115', 0.9951734180121087), ('C0050', 0.9932065976864416), ('C0074', 0.9921544930551494)]"
C0184,"[('C0127', 0.9972863527661575), ('C0154', 0.9550693817130406), ('C0118', 0.9521239095703217)]"
C0185,"[('C0066', 0.9986758517643416), ('C0026', 0.9911926098651755), ('C0040', 0.9904594163585974)]"
C0186,"[('C0001', 0.9965715956858878), ('C0015', 0.9909796915091191), ('C0137', 0.9899022931481709)]"
C0187,"[('C0158', 0.9829759884938546), ('C0044', 0.978161100205364), ('C0107', 0.9757786996943649)]"
C0188,"[('C0141', 0.9951742767627189), ('C0054', 0.9949775506765823), ('C0099', 0.9932558989434759)]"
C0189,"[('C0121', 0.9995918153123169), ('C0094', 0.9968555892021431), ('C0002', 0.9943184391492546)]"
C0190,"[('C0111', 0.9986348807678017), ('C0134', 0.9945237485693477), ('C0081', 0.979136107556167)]"
C0191,"[('C0069', 0.9884498722762205), ('C0009', 0.9796259681952761), ('C0192', 0.9761378395516028)]"
C0192,"[('C0009', 0.9982054929990254), ('C0069', 0.9974688668700038), ('C0128', 0.9963019744015692)]"
C0193,"[('C0110', 0.9935536516587558), ('C0129', 0.9761301941057746), ('C0140', 0.9086151359833082)]"
C0194,"[('C0049', 0.982413131829584), ('C0179', 0.9779516363116881), ('C0161', 0.9681447593919105)]"
C0195,"[('C0136', 0.9897317812379114), ('C0039', 0.9875817232192944), ('C0113', 0.9666861265657001)]"
C0196,"[('C0079', 0.9981880228622236), ('C0168', 0.9977977839199412), ('C0026', 0.9939261333635248)]"
C0197,"[('C0035', 0.9976991151082961), ('C0036', 0.9919543122328685), ('C0112', 0.9916754135141682)]"
C0198,"[('C0177', 0.9910043300744571), ('C0132', 0.9866455654440244), ('C0052', 0.9366913200526295)]"
C0199,"[('C0083', 0.9910999181706006), ('C0119', 0.9880082052393874), ('C0032', 0.9741241231935229)]"
C0200,"[('C0148', 0.9994640272880011), ('C0114', 0.995187303253489), ('C0149', 0.9864352961533073)]"
